seller_id,seller_city,seller_state,total_orders,unique_products,total_revenue,avg_price,avg_rating,avg_delivery_days,late_delivery
0015a82c2db000af6aaaf3ae2ecb0532,santo andre,SP,3,1,2685.00,895.00,3.67,10.3,0.00
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,200,11,25080.03,104.94,3.90,12.6,5.44
001e6ad469a905060d959994f1b41e4f,sao goncalo,RJ,1,1,250.00,250.00,1.00,,
002100f778ceb8431b7a1020ff7ab48f,franca,SP,51,24,1234.50,22.45,3.98,15.8,16.36
003554e2dce176b5555353e4f3555ac8,goiania,GO,1,1,120.00,120.00,5.00,4.0,0.00
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,158,88,19712.71,115.96,4.14,14.0,7.65
00720abe85ba0859807595bbf045a33b,guarulhos,SP,13,9,1007.50,38.75,3.65,8.2,7.69
00ab3eff1b5192e5f1a63bcecfee11c8,sao paulo,SP,1,1,98.00,98.00,5.00,9.0,0.00
00d8b143d12632bad99c0ad66ad52825,belo horizonte,MG,1,1,86.00,86.00,5.00,7.0,0.00
00ee68308b45bc5e2660cd833c3f81cc,sao paulo,SP,135,23,20260.00,117.79,4.33,8.7,8.14
00fc707aaaad2d31347cf883cd2dfe10,maringa,PR,103,19,12684.90,93.96,3.79,15.3,4.44
010543a62bd80aa422851e79a3bc7540,sao paulo,SP,2,1,1416.00,708.00,4.50,8.5,0.00
010da0602d7774602cd1b3f5fb7b709e,sao bernardo do campo,SP,1,1,849.50,169.90,1.00,26.0,0.00
011b0eaba87386a2ae96a7d32bb531d1,pompeia,SP,1,1,99.98,49.99,4.00,25.0,0.00
01266d4c46afa519678d16a8b683d325,curitiba,PR,3,3,90.25,30.08,5.00,5.3,0.00
013900e863eace745d3ec7614cab5b1a,curitiba,PR,23,19,1619.70,62.30,4.73,11.0,0.00
014c0679dd340a0e338872e7ec85666a,timoteo,MG,14,10,7058.00,470.53,3.67,18.5,13.33
014d9a685fd57276679edd00e07089e5,maringa,PR,11,3,729.88,60.82,3.83,8.5,0.00
0176f73cc1195f367f7b32db1e5b3aa8,ibitinga,SP,38,18,4733.10,121.36,4.03,12.9,10.26
01bcc9d254a0143f0ce9791b960b2a47,uruacu,GO,11,3,1521.21,138.29,4.40,12.4,0.00
01c97ebb5cdac52891c0ed1c37ba0012,catanduva,SP,9,3,577.50,48.13,4.08,12.3,0.00
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,61,21,9729.36,145.21,4.21,11.1,4.48
01ed254b9ff8407dfb9d99ba1e17d923,mogi das cruzes,SP,5,2,1465.99,293.20,5.00,6.4,0.00
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,31,12,1208.00,30.97,4.31,7.7,2.56
01fdefa7697d26ad920e9e0346d4bd1b,londrina,PR,129,21,14921.43,113.90,4.35,10.3,6.11
0241d4d5d36f10f80c644447315af0bd,curitiba,PR,238,56,31397.70,127.63,4.31,10.5,5.69
0249d282d911d23cb8b869ab49c99f53,sao paulo,SP,11,4,393.00,35.73,4.27,9.8,18.18
024b564ae893ce8e9bfa02c10a401ece,sao paulo,SP,2,2,706.40,88.30,4.75,18.0,0.00
028872bfa080090a9d0abd4f1af168f8,ribeirao das neves,MG,1,1,70.50,23.50,5.00,16.0,0.00
02a2272692e13558373c66db98f05e2e,rio de janeiro,RJ,2,2,54.98,27.49,3.00,,
02b72cdeb9cfcc429f1af6f4e3f3b737,ibitinga,SP,4,3,522.65,130.66,4.75,12.0,0.00
02c988090b766852e088c69d7fb3b551,americana,SP,13,11,1618.65,95.21,4.69,8.1,0.00
02d35243ea2e497335cd0f076b45675d,natal,RN,14,3,5794.00,362.13,2.69,25.4,37.50
02dcd3e8e25bee036e32512bcf175493,contagem,MG,14,7,1491.90,87.76,3.59,16.9,29.41
02ecc2a19303f05e59ce133fd923fff7,santo andre,SP,21,17,5264.19,219.34,4.54,10.4,0.00
02f5837340d7eb4f653d676c7256523a,curitiba,PR,30,3,3883.05,129.44,4.83,9.2,3.33
02f623a8eb246f3c5f7c2f96462654e6,botucatu,SP,44,23,6378.00,144.95,4.56,8.1,9.09
0307f7565ff85b299b6e5ef162b1b1a9,sao jose do rio preto,SP,7,6,4728.80,675.54,3.14,14.7,0.00
0336182e1b3e92f029d5354832045fdf,ibitinga,SP,1,2,29.80,14.90,2.00,13.0,0.00
034b9387752bfa309f350a70cd45ffa3,blumenau,SC,8,2,96.00,12.00,4.50,8.1,0.00
038b75b729c8a9a04b0d07cba7eabe86,sao jose dos campos,SP,2,1,467.00,233.50,3.50,22.5,50.00
039b29ff3b3473435d0cd59040575de9,ribeirao pires,SP,9,7,114.90,12.77,4.44,8.6,0.00
039e6ad9dae79614493083e241147386,sao paulo,SP,5,4,12925.00,2585.00,4.00,14.0,20.00
03a2a6dcbe45d639c4dc2a0d24769c40,maua,SP,9,7,1078.41,119.82,4.11,9.9,11.11
03bd479e1d9484cdb14104d3023f7321,uberlandia,MG,3,3,359.70,119.90,4.33,20.3,33.33
0417b067eeab773d2f7061a726dc477f,sao bento do sul,SC,13,11,1859.18,143.01,3.92,17.3,30.77
042573af89b6d931f672efaf789d8358,sorocaba,SP,3,3,413.48,137.83,3.67,19.7,33.33
04308b1ee57b6625f47df1d56f00eedf,bombinhas,SC,94,20,60130.60,639.69,3.88,18.4,11.70
0432ead42b6c8a0bdf68154add917fdf,maua,SP,85,56,7792.10,86.58,4.48,8.3,3.33
044668ccd5316b12a7cf0d54a156e3e9,osasco,SP,3,1,137.80,34.45,5.00,7.0,0.00
04843805947f0fc584fc1969b6e50fe7,ivoti,RS,1,1,1400.00,700.00,5.00,15.0,100.00
048c2757535328e0d7dac690ad3c0aae,franca,SP,51,20,9264.78,181.66,4.18,18.0,13.73
04aa0a1c5ce6b222003403a3e11c3cc0,cosmopolis,SP,11,8,5518.00,324.59,3.53,15.9,11.76
04aba03279157f6d4e0fe8ccaf21963c,santo antonio de padua,RJ,16,12,2575.90,160.99,4.31,11.2,6.25
04e38a233f726ef161074ab1c9b0399a,sao paulo,SP,23,11,1352.20,48.29,3.79,11.1,10.71
04ee0ec01589969663ba5967c0e0bdc0,lajeado,RS,1,1,289.49,289.49,5.00,3.0,0.00
04fdea0c111866e6cf812f1570d6b5bd,sao paulo,SP,10,2,1055.00,105.50,3.20,17.5,10.00
0509040ea3fe50071181bbc359eb7738,belo horizonte,MG,89,34,3737.95,38.14,4.50,11.0,6.12
052577151711aec5c744fe12e66db3e1,rodeio,SC,4,1,2748.00,687.00,2.25,14.0,0.00
054694fa03fe82cec4b7551487331d74,itajobi,SP,21,15,9983.10,453.78,3.36,29.7,27.27
056b4ada5bbc2c50cc7842547dda6b51,queimados,RJ,65,23,12333.39,186.87,4.12,12.3,10.61
0570350b23eda5444f8d1d9544932058,sao paulo,SP,6,3,626.90,56.99,5.00,4.0,0.00
05730013efda596306417c3b09302475,criciuma,SC,4,4,952.00,238.00,5.00,9.0,0.00
058cb5aeb36d7c0fcae20fc85d5e0a59,rio de janeiro,RJ,12,8,1328.00,102.15,3.38,9.3,7.69
058fd0aa2bfdb2274e05e1ae971dabb6,santo andre,SP,61,11,7667.90,119.81,4.39,9.8,7.81
05a48cc8859962767935ab9087417fbb,sao paulo,SP,1,1,42.90,42.90,5.00,11.0,0.00
05a940b4ecae36cadfd8e93bd9c43257,goiania,GO,10,9,952.00,95.20,3.90,13.8,0.00
05aebce0b5c8f0d41b29b686f2d05fd3,sao paulo,SP,2,2,74.99,37.50,5.00,5.5,50.00
05ca864204d09595ae591b93ea9cf93d,barueri,SP,1,1,179.90,179.90,5.00,5.0,100.00
05d2173d43ea568aa0540eba70d2ca76,alfenas,MG,62,48,5759.66,87.27,4.00,14.3,6.06
05e107217c7266362fd44b75b2cd4cc4,sao paulo - sp,SP,5,3,193.38,24.17,4.13,6.4,50.00
05f51e13da97139648b8125c31e5f51b,belo horizonte,MG,60,21,13769.01,218.56,4.10,11.9,14.29
05feb94f19d094d4b0f9281f0b1d4c99,mogi das cruzes,SP,6,2,9353.00,1558.83,4.50,14.8,0.00
05ff92fedb5be47920fea08e501238b9,santo angelo,RS,59,16,21992.78,354.72,4.21,11.8,4.84
